id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
57112e639a100,18,Male,5,no,objTwoColors,#00FF80,193,59,320,4,Sky-Blue ,Green    ,0.57,0.1,0.08,0.09,0.07,0.09,0.66,0.67,0.35,0.37,0.31,0.38,0.37,0.2
57112ebc85ba1,18,Female,32,no,objTwoColors,#00FF80,187,52,143,5,Cyan     ,Green    ,0.54,0.11,0.07,0.12,0.07,0.09,0.66,0.65,0.34,0.35,0.26,0.34,0.35,0.26
5711348e42f02,19,Female,32,no,objTwoColors,#00FF80,232,120,154,4,Blue     ,Green    ,0.78,0.16,0.27,0.05,0.19,0.18,0.79,0.8,0.69,0.72,0.67,0.73,0.72,0.15
57113d4d93c81,18,Female,32,no,objTwoColors,#00FF80,189,59,224,4,Cyan     ,Green    ,0.54,0.1,0.07,0.1,0.06,0.08,0.65,0.66,0.32,0.35,0.29,0.36,0.35,0.22
5711703bd85fc,18,Female,32,no,objTwoColors,#00FF80,215,63,281,3,Blue     ,Green    ,0.7,0.06,0.18,0.09,0.12,0.15,0.73,0.73,0.49,0.51,0.47,0.52,0.51,0.07
57121540dbb98,18,Male,7,no,objTwoColors,#00FF80,152,153,113,5,Teal     ,Teal     ,0.22,0.02,0.14,0.07,0.04,0.02,0.52,0.53,0.25,0.28,0.22,0.29,0.28,0.59
57127cb3ab1fe,1,Male,12,no,objTwoColors,#00FF80,59,181,482,3,Green    ,Blue     ,0.18,0.11,0.13,0.11,0.05,0.07,0.33,0.33,0.4,0.42,0.41,0.42,0.42,0.78
5734d89183dab,19,Female,29,no,objTwoColors,#00FF80,106,187,178,4,Green    ,Cyan     ,0.09,0.03,0.21,0.04,0.04,0.05,0.5,0.52,0.31,0.32,0.38,0.32,0.32,0.85
5736048bb110b,19,Male,32,no,objTwoColors,#00FF80,157,150,174,5,Cyan     ,Teal     ,0.28,0.02,0.11,0.07,0.05,0.03,0.54,0.55,0.29,0.31,0.25,0.32,0.31,0.56
573634984323e,19,Male,32,no,objTwoColors,#00FF80,181,52,278,3,Blue     ,Green    ,0.51,0.11,0.05,0.13,0.06,0.08,0.65,0.64,0.31,0.32,0.22,0.31,0.32,0.3
57366c199283c,19,Male,32,no,objTwoColors,#00FF80,130,122,281,4,Green    ,Green    ,0.26,0.1,0.18,0.12,0.06,0.1,0.67,0.67,0.17,0.19,0.25,0.2,0.19,0.69
57427cf6bad0c,19,Female,32,no,objTwoColors,#00FF80,0,0,0,4,Red      ,Red      ,0.8,0.39,0.29,0.36,0.39,0.38,0.39,0.4,0.69,0.7,0.64,0.68,0.7,0.83
5744dce84ffa5,16,Male,13,no,objTwoColors,#00FF80,57,180,196,3,Green    ,Blue     ,0.19,0.11,0.12,0.12,0.05,0.07,0.32,0.33,0.4,0.42,0.41,0.43,0.42,0.77
574511e99b6d9,19,Female,32,no,objTwoColors,#00FF80,193,53,145,4,Sky-Blue ,Green    ,0.58,0.1,0.08,0.1,0.08,0.11,0.67,0.67,0.38,0.38,0.29,0.37,0.38,0.23
5745350dc1e22,19,Female,31,no,objTwoColors,#00FF80,193,57,121,3,Sky-Blue ,Green    ,0.57,0.1,0.08,0.09,0.07,0.1,0.66,0.67,0.36,0.37,0.3,0.37,0.37,0.21
5745c1c07cc0c,18,Other,31,no,objTwoColors,#00FF80,138,157,228,4,Green    ,Cyan     ,0.14,0.03,0.18,0.08,0.02,0.03,0.52,0.53,0.2,0.23,0.23,0.23,0.22,0.67
5745f6f039dc9,15,Male,33,no,objTwoColors,#00FF80,0,0,0,5,Red      ,Red      ,0.8,0.39,0.29,0.36,0.39,0.38,0.39,0.4,0.69,0.7,0.64,0.68,0.7,0.83
