id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
5710d28fec2d1,30,Male,32,no,objTwoColors,#00FF80,0,272,310,1,Red      ,Blue     ,0.69,0.32,0.24,0.23,0.33,0.32,0.28,0.29,0.87,0.89,0.86,0.89,0.89,1.01
5711106ab212a,33,Male,32,no,objTwoColors,#00FF80,0,124,143,4,Red      ,Green    ,0.64,0.13,0.29,0.2,0.12,0.16,0.23,0.24,0.56,0.58,0.58,0.59,0.58,0.7
5711148c11035,35,Male,22,no,objTwoColors,#00FF80,175,56,264,3,Blue     ,Green    ,0.47,0.11,0.05,0.12,0.05,0.06,0.63,0.64,0.26,0.27,0.2,0.27,0.27,0.31
57112e1a2bbbb,32,Male,16,no,objTwoColors,#00FF80,105,213,574,1,Green    ,Blue     ,0.25,0.05,0.22,0.04,0.11,0.13,0.66,0.67,0.45,0.46,0.52,0.46,0.46,0.99
571153ca15566,32,Male,32,no,objTwoColors,#00FF80,168,57,64,3,Green    ,Green    ,0.42,0.1,0.06,0.13,0.04,0.05,0.62,0.63,0.21,0.23,0.16,0.23,0.23,0.35
571252e6d2e70,31,Female,32,no,objTwoColors,#00FF80,101,0,94,5,Green    ,Red      ,0.39,0.16,0.17,0.2,0.12,0.17,0.81,0.81,0.28,0.29,0.32,0.27,0.29,0.83
57153eb9b4bed,35,Female,31,no,objTwoColors,#00FF80,0,104,870,3,Red      ,Green    ,0.64,0.16,0.29,0.2,0.12,0.16,0.23,0.24,0.55,0.57,0.56,0.58,0.57,0.69
57190633f233f,30,Male,32,no,objTwoColors,#00FF80,195,65,331,4,Sky-Blue ,Yellow   ,0.58,0.09,0.09,0.08,0.07,0.09,0.67,0.66,0.38,0.4,0.35,0.41,0.4,0.2
573a059da0efd,31,Female,32,yes,objTwoColors,#00FF9A,0,0,0,1,Red      ,Red      ,0.8,0.39,0.29,0.36,0.39,0.38,0.39,0.4,0.69,0.7,0.64,0.68,0.7,0.83
573c783748e8b,37,Female,32,yes,objTwoColors,#00FF9A,23,55,580,3,Orange   ,Green    ,0.55,0.22,0.22,0.24,0.22,0.21,0.3,0.31,0.35,0.36,0.33,0.35,0.36,0.55
5740a8b59d448,31,Female,32,yes,objTwoColors,#00FF9A,136,0,186,3,Green    ,Red      ,0.42,0.11,0.16,0.2,0.12,0.15,0.81,0.82,0.31,0.32,0.3,0.3,0.32,0.8
5740b686127bb,32,Male,32,yes,objTwoColors,#00FF9A,203,88,196,3,Navy-Blue,Green    ,0.63,0.04,0.12,0.04,0.08,0.1,0.69,0.7,0.51,0.53,0.49,0.54,0.53,0.23
5745b5cbe3caa,34,Female,32,no,objTwoColors,#00FF80,185,75,357,4,Blue     ,Yellow   ,0.51,0.09,0.06,0.08,0.04,0.06,0.63,0.64,0.36,0.37,0.33,0.38,0.37,0.3
574859b8f3379,30,Male,32,yes,objTwoColors,#00FF9A,99,186,334,3,Green    ,Cyan     ,0.08,0.05,0.21,0.04,0.04,0.05,0.49,0.5,0.29,0.31,0.38,0.31,0.31,0.83
