id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
5710ee9e58646,objTwoColors,#00FF80,205,131,734,3,Navy-Blue,Green    ,0.64,0.11,0.13,0.03,0.1,0.11,0.7,0.71,0.57,0.6,0.54,0.61,0.6,0.27
571151812791a,objTwoColors,#00FF80,58,201,119,3,Green    ,Navy-Blue,0.31,0.09,0.13,0.09,0.09,0.12,0.44,0.45,0.51,0.52,0.52,0.52,0.52,0.88
572767049ccfa,objTwoColors,#00FF80,123,184,399,3,Green    ,Blue     ,0.09,0.02,0.22,0.05,0.04,0.05,0.5,0.51,0.3,0.31,0.37,0.31,0.31,0.83
572c85675a5ef,objTwoColors,#00FF80,161,115,265,4,Green    ,Green    ,0.4,0.07,0.08,0.08,0,0.03,0.64,0.65,0.31,0.33,0.28,0.34,0.33,0.53
573c70dabcfe0,objTwoColors,#00FF80,87,186,216,3,DK-Green ,Cyan     ,0.11,0.07,0.18,0.05,0.04,0.05,0.46,0.47,0.32,0.34,0.37,0.34,0.34,0.82
573c783748e8b,objTwoColors,#00FF80,23,55,580,3,Orange   ,Green    ,0.55,0.22,0.22,0.24,0.22,0.21,0.3,0.31,0.35,0.36,0.33,0.35,0.36,0.55
573e47c26cb8e,objTwoColors,#00FF80,38,215,113,2,Yellow   ,Blue     ,0.49,0.1,0.13,0.13,0.18,0.2,0.42,0.43,0.69,0.7,0.68,0.7,0.7,0.96
573e4d0eb795b,objTwoColors,#00FF80,241,53,355,5,Blue     ,Green    ,0.78,0.32,0.29,0.1,0.23,0.22,0.79,0.79,0.58,0.58,0.5,0.57,0.58,0.04
573edae85268b,objTwoColors,#00FF80,245,57,309,4,Blue     ,Green    ,0.77,0.32,0.29,0.09,0.22,0.21,0.78,0.78,0.56,0.57,0.5,0.57,0.57,0.02
5740ad339507d,objTwoColors,#00FF80,207,58,94,4,Navy-Blue,Green    ,0.66,0.09,0.14,0.09,0.1,0.14,0.71,0.71,0.45,0.46,0.4,0.46,0.46,0.12
5740b686127bb,objTwoColors,#00FF80,203,88,196,3,Navy-Blue,Green    ,0.63,0.04,0.12,0.04,0.08,0.1,0.69,0.7,0.51,0.53,0.49,0.54,0.53,0.23
5740bda9be3dc,objTwoColors,#00FF80,56,188,107,5,Green    ,Cyan     ,0.24,0.1,0.12,0.11,0.06,0.09,0.36,0.36,0.45,0.46,0.46,0.46,0.46,0.81
5740e3f36a945,objTwoColors,#00FF80,256,57,286,2,Blue     ,Green    ,0.76,0.34,0.28,0.1,0.22,0.21,0.76,0.77,0.55,0.56,0.49,0.56,0.56,0.02
574859b8f3379,objTwoColors,#00FF80,99,186,334,3,Green    ,Cyan     ,0.08,0.05,0.21,0.04,0.04,0.05,0.49,0.5,0.29,0.31,0.38,0.31,0.31,0.83
5756ae6897296,objTwoColors,#00FF80,59,179,112,4,Green    ,Blue     ,0.17,0.11,0.13,0.11,0.05,0.07,0.32,0.32,0.39,0.41,0.4,0.41,0.41,0.77
5756b2d9bd658,objTwoColors,#00FF80,182,59,152,4,Blue     ,Green    ,0.5,0.11,0.05,0.11,0.05,0.07,0.64,0.65,0.28,0.31,0.25,0.32,0.31,0.26
5757ffca0b4b1,objTwoColors,#00FF80,180,60,443,4,Blue     ,Green    ,0.49,0.11,0.05,0.11,0.05,0.07,0.64,0.64,0.27,0.3,0.24,0.31,0.3,0.27
57581518c2c07,objTwoColors,#00FF80,206,56,104,4,Navy-Blue,Green    ,0.65,0.09,0.13,0.1,0.11,0.14,0.7,0.71,0.44,0.45,0.38,0.45,0.45,0.12
57582b17cd76a,objTwoColors,#00FF80,118,177,131,2,Green    ,Blue     ,0.05,0.03,0.22,0.06,0.03,0.03,0.46,0.47,0.27,0.28,0.35,0.28,0.28,0.8
