id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,page_time,rating,resets,id_question
5716e9900f6ea,58,Female,31,no,objTwoColors,#FFFF00,119,359,312,153,3,0,1
57116ce8cf9e5,50,Female,7,no,objTwoColors,#FFFF00,0,52,213,13,4,0,1
5710e540a9514,52,Female,32,no,objTwoColors,#FFFF00,10,111,191,41,4,0,1
5739ff85289b2,56,Female,25,yes,objTwoColors,#CEFF00,50,196,6,17,2,0,1
57149713464b1,51,Female,32,no,objTwoColors,#FFFF00,0,0,0,1,1,0,1
5711800f2c5f3,59,Female,31,no,objTwoColors,#FFFF00,46,66,427,97,1,0,1
57142079d871e,51,Male,8,no,objTwoColors,#FFFF00,50,129,340,42,4,1,1
571289ef76e18,55,Female,31,no,objTwoColors,#FFFF00,21,358,102,18,4,0,1
5739ff85289b2,56,Female,25,yes,objTwoColors,#FF00FF,305,196,10,45,1,0,2
5710e540a9514,52,Female,32,no,objTwoColors,#FF00FF,309,22,761,140,1,0,2
571534076a966,52,Male,9,no,objTwoColors,#FF00FF,9,255,413,34,3,0,2
57149713464b1,51,Female,32,no,objTwoColors,#FF00FF,0,0,0,1,1,0,2
571163013744e,53,Female,13,no,objTwoColors,#FF00FF,217,334,58,30,2,0,2
5711800f2c5f3,59,Female,31,no,objTwoColors,#FF00FF,282,181,329,80,3,0,2
5716e9900f6ea,58,Female,31,no,objTwoColors,#FF00FF,12,235,217,37,3,0,2
571289ef76e18,55,Female,31,no,objTwoColors,#FF00FF,352,63,332,29,4,0,2
571534076a966,52,Male,9,no,objTwoColors,#80FF00,16,61,554,26,3,0,3
5739ff85289b2,56,Female,25,yes,objTwoColors,#00FF00,333,33,137,54,1,0,3
5710e540a9514,52,Female,32,no,objTwoColors,#80FF00,134,0,176,15,2,0,3
57149713464b1,51,Female,32,no,objTwoColors,#80FF00,0,0,0,2,1,0,3
571289ef76e18,55,Female,31,no,objTwoColors,#80FF00,56,357,280,42,5,0,3
5716e9900f6ea,58,Female,31,no,objTwoColors,#80FF00,55,188,145,42,3,0,3
5711800f2c5f3,59,Female,31,no,objTwoColors,#80FF00,188,52,91,29,4,0,3
571163013744e,53,Female,13,no,objTwoColors,#80FF00,47,254,288,48,5,0,3
571289ef76e18,55,Female,31,no,objTwoColors,#7f00ff,207,349,504,43,3,0,4
57363b3954a26,55,Male,16,no,objTwoColors,#7f00ff,210,304,195,32,3,0,4
5739ff85289b2,56,Female,25,yes,objTwoColors,#B100FF,278,0,11,26,3,0,4
5716e9900f6ea,58,Female,31,no,objTwoColors,#7f00ff,338,235,253,37,4,0,4
5710e540a9514,52,Female,32,no,objTwoColors,#7f00ff,203,308,146,19,4,0,4
57149713464b1,51,Female,32,no,objTwoColors,#7f00ff,0,0,0,1,1,0,4
5711800f2c5f3,59,Female,31,no,objTwoColors,#7f00ff,210,107,198,53,3,0,4
5739ff85289b2,56,Female,25,yes,objTwoColors,#FF007A,113,37,8,13,2,0,5
5710e540a9514,52,Female,32,no,objTwoColors,#FF0080,3,16,10,12,4,0,5
571534076a966,52,Male,9,no,objTwoColors,#FF0080,359,202,210,16,3,0,5
5716e9900f6ea,58,Female,31,no,objTwoColors,#FF0080,236,16,220,42,3,0,5
5711800f2c5f3,59,Female,31,no,objTwoColors,#FF0080,7,296,165,30,3,0,5
57149713464b1,51,Female,32,no,objTwoColors,#FF0080,0,0,0,1,1,0,5
57363b3954a26,55,Male,16,no,objTwoColors,#FF0080,356,300,386,66,2,0,5
571289ef76e18,55,Female,31,no,objTwoColors,#FF8000,52,352,159,23,5,0,6
5716e9900f6ea,58,Female,31,no,objTwoColors,#FF8000,52,354,508,53,3,0,6
5739ff85289b2,56,Female,25,yes,objTwoColors,#FF7200,168,52,531,131,1,0,6
5711800f2c5f3,59,Female,31,no,objTwoColors,#FF8000,6,53,324,87,4,0,6
571163013744e,53,Female,13,no,objTwoColors,#FF8000,342,55,238,29,5,0,6
57149713464b1,51,Female,32,no,objTwoColors,#FF8000,0,0,0,6,1,0,6
5710e540a9514,52,Female,32,no,objTwoColors,#FF8000,10,56,44,9,4,0,6
571289ef76e18,55,Female,31,no,objTwoColors,#0000FF,316,182,144,110,5,0,7
571534076a966,52,Male,9,no,objTwoColors,#0000FF,51,118,493,34,3,0,7
57149713464b1,51,Female,32,no,objTwoColors,#0000FF,0,0,0,2,1,0,7
5710e540a9514,52,Female,32,no,objTwoColors,#0000FF,211,318,653,112,1,0,7
57363b3954a26,55,Male,16,no,objTwoColors,#0000FF,233,0,39,10,5,0,7
571163013744e,53,Female,13,no,objTwoColors,#0000FF,209,329,82,121,2,0,7
