id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,page_time,rating,resets,id_question
571154184c9bd,47,Female,32,no,objTwoColors,#FFFF00,53,0,105,19,5,0,1
57127bcfaafb0,22,Female,32,no,objTwoColors,#FFFF00,56,58,141,7,5,0,1
5710cd99df604,23,Female,32,no,objTwoColors,#FFFF00,60,0,149,8,4,0,1
5710ee55dcd72,23,Female,6,no,objTwoColors,#FFFF00,136,6,214,36,5,0,1
57116ce8cf9e5,50,Female,7,no,objTwoColors,#FFFF00,0,52,213,13,4,0,1
5756b2d9bd658,23,Female,32,yes,objTwoColors,#CEFF00,59,95,228,28,5,0,1
5739ff85289b2,56,Female,25,yes,objTwoColors,#CEFF00,50,196,6,17,2,0,1
5711800f2c5f3,59,Female,31,no,objTwoColors,#FFFF00,46,66,427,97,1,0,1
571183866d73f,48,Female,32,no,objTwoColors,#FFFF00,56,0,83,377,4,0,1
571289ef76e18,55,Female,31,no,objTwoColors,#FFFF00,21,358,102,18,4,0,1
57112ebc85ba1,18,Female,32,no,objTwoColors,#FFFF00,57,54,93,9,1,0,1
5740e3f36a945,49,Female,32,yes,objTwoColors,#CEFF00,76,0,139,26,2,0,1
57113e6176346,23,Female,30,no,objTwoColors,#FFFF00,0,57,439,32,1,0,1
5712bd55a8a13,27,Female,32,no,objTwoColors,#FFFF00,0,59,96,9,5,0,1
5713fc80c942a,23,Female,32,no,objTwoColors,#FFFF00,58,59,308,23,5,0,1
5711348e42f02,19,Female,32,no,objTwoColors,#FFFF00,46,0,504,67,3,0,1
5713dd915ca28,24,Female,20,no,objTwoColors,#FFFF00,0,43,88,15,1,0,1
57113d4d93c81,18,Female,32,no,objTwoColors,#FFFF00,50,0,35,6,4,0,1
57113163e6fb1,20,Female,10,no,objTwoColors,#FFFF00,245,141,583,28,3,0,1
5745350dc1e22,19,Female,31,no,objTwoColors,#FFFF00,57,56,316,23,5,0,1
574511e99b6d9,19,Female,32,no,objTwoColors,#FFFF00,29,0,49,7,3,0,1
5712c2b021f58,22,Female,32,no,objTwoColors,#FFFF00,0,59,319,26,5,0,1
5713ad43312ab,23,Female,1,no,objTwoColors,#FFFF00,357,0,437,30,3,0,1
573a059da0efd,31,Female,32,yes,objTwoColors,#CEFF00,199,49,84,13,5,0,1
5740a8b59d448,31,Female,32,yes,objTwoColors,#CEFF00,152,57,912,72,2,0,1
5713aa57bebec,24,Female,12,no,objTwoColors,#FFFF00,0,67,377,30,3,0,1
571130c5cd6e9,24,Female,32,no,objTwoColors,#FFFF00,56,55,352,65,4,0,1
5712c57f97f25,25,Female,31,no,objTwoColors,#FFFF00,59,59,160,39,4,0,1
57112b9e10661,64,Female,34,no,objTwoColors,#FFFF00,213,96,102,12,2,0,1
5745b5cbe3caa,34,Female,32,no,objTwoColors,#FFFF00,56,57,438,34,3,0,1
5734d89183dab,19,Female,29,no,objTwoColors,#FFFF00,58,55,88,14,4,0,1
5713923c1bbc7,24,Female,27,no,objTwoColors,#FFFF00,3,38,177,24,5,0,1
571130d934bda,22,Female,32,no,objTwoColors,#FFFF00,59,0,233,24,4,0,1
5710d71ff24c3,20,Female,32,no,objTwoColors,#FFFF00,0,0,180,10,1,0,1
5710e540a9514,52,Female,32,no,objTwoColors,#FFFF00,10,111,191,41,4,0,1
5776cc574bf84,45,Female,21,no,objTwoColors,#FFFF00,59,0,250,33,5,0,1
57451c3b38192,23,Female,32,no,objTwoColors,#FFFF00,0,59,53,10,5,0,1
5713a02a13044,24,Female,32,yes,objTwoColors,#FFFF00,1,52,85,13,4,0,1
