id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,page_time,rating,resets,id_question
57113b7f16c4b,22,Male,31,no,objTwoColors,#FFFF00,236,131,547,130,3,0,1
5756ae6897296,21,Male,32,yes,objTwoColors,#CEFF00,1,25,25,8,5,0,1
571247f66fb51,27,Male,32,no,objTwoColors,#FFFF00,7,130,180,13,5,0,1
57127cb3ab1fe,1,Male,12,no,objTwoColors,#FFFF00,61,0,220,21,5,0,1
573634984323e,19,Male,32,no,objTwoColors,#FFFF00,59,59,699,37,5,0,1
57119224388ef,24,Male,31,no,objTwoColors,#FFFF00,207,106,223,12,5,0,1
5736048bb110b,19,Male,32,no,objTwoColors,#FFFF00,59,52,133,6,5,0,1
571260c120253,22,Male,32,no,objTwoColors,#FFFF00,56,59,95,12,1,0,1
5734aa4c927a8,22,Male,15,no,objTwoColors,#FFFF00,56,59,605,56,1,1,1
574859b8f3379,30,Male,32,yes,objTwoColors,#CEFF00,1,124,245,26,4,0,1
5734e848ad81a,21,Male,4,no,objTwoColors,#FFFF00,57,57,125,16,5,0,1
5710d140b7c5a,26,Male,32,no,objTwoColors,#FFFF00,46,0,102,5,3,0,1
5711760a3dfe0,21,Male,8,no,objTwoColors,#FFFF00,44,0,105,13,5,0,1
5756ab1701ba0,21,Male,32,yes,objTwoColors,#CEFF00,188,140,190,13,5,0,1
57116b9b879bf,20,Male,32,no,objTwoColors,#FFFF00,53,18,138,11,3,0,1
5713b961c216a,647,Male,11,no,objTwoColors,#FFFF00,0,0,0,1,5,0,1
57111f6c42412,22,Male,34,no,objTwoColors,#FFFF00,57,0,343,19,5,0,1
5735d3455a84c,29,Male,32,no,objTwoColors,#FFFF00,52,54,74,8,5,0,1
57112fc882a10,18,Male,3,no,objTwoColors,#FFFF00,40,0,307,32,3,0,1
57123bec83e8e,21,Male,32,no,objTwoColors,#FFFF00,1,25,712,36,3,0,1
57122f7e5768f,23,Male,4,no,objTwoColors,#FFFF00,60,0,952,61,5,0,1
57142079d871e,51,Male,8,no,objTwoColors,#FFFF00,50,129,340,42,4,1,1
5711231e370f2,24,Male,32,yes,objTwoColors,#FFFF00,0,58,390,41,3,0,1
57581518c2c07,25,Male,32,yes,objTwoColors,#FFFF00,178,162,86,8,2,0,1
5714c6c26c2f6,21,Male,11,no,objTwoColors,#FFFF00,58,55,146,20,5,0,1
573c70dabcfe0,49,Male,32,yes,objTwoColors,#CEFF00,70,0,710,60,2,0,1
