id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,page_time,rating,resets,id_question
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FFFF00,56,59,106,17,5,0,1
57410611290e3,22,Other,5,no,objTwoColors,#FF00FF,344,0,370,30,5,0,2
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FF00FF,322,196,120,20,4,0,2
5745c1c07cc0c,18,Other,31,no,objTwoColors,#80FF00,199,59,162,17,4,0,3
5745c1c07cc0c,18,Other,31,no,objTwoColors,#7f00ff,220,353,362,18,4,0,4
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FF0080,1,210,100,10,5,0,5
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FF8000,4,46,33,10,4,0,6
5745c1c07cc0c,18,Other,31,no,objTwoColors,#0000FF,226,225,582,23,5,0,7
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FF0000,5,357,358,26,5,0,8
57410611290e3,22,Other,5,no,objTwoColors,#00FF80,59,188,191,34,4,0,9
5745c1c07cc0c,18,Other,31,no,objTwoColors,#00FF80,138,157,228,24,4,0,9
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FF8000,0,0,0,8,2,0,11
5745c1c07cc0c,18,Other,31,no,objTwoColors,#80FF00,113,50,305,23,4,0,12
57410611290e3,22,Other,5,no,objTwoColors,#80FF00,55,186,74,33,5,0,12
5745c1c07cc0c,18,Other,31,no,objTwoColors,#0080FF,205,212,165,10,4,0,13
5745c1c07cc0c,18,Other,31,no,objTwoColors,#8000FF,300,324,645,55,2,1,14
5745c1c07cc0c,18,Other,31,no,objTwoColors,#00FF80,168,98,168,12,4,0,15
5745c1c07cc0c,18,Other,31,no,objTwoColors,#FF007F,189,352,253,16,3,0,16
57410611290e3,22,Other,5,no,objTwoColors,#FF007F,357,0,121,16,3,0,16
5745c1c07cc0c,18,Other,31,no,objTwoColors,#00FF00,205,46,343,19,4,0,17
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#FF0000,#00FF00,#c9ab00,57,5,3,0,18
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#FF0000,#0000FF,#B000FF,224,18,5,0,19
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#00FF00,#0000FF,#00FF80,211,13,3,0,20
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#FF0000,#00FFFF,#800080,473,26,2,0,21
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#FF0000,#FF00FF,#FF0050,50,10,4,0,22
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#FF0000,#FFFF00,#FF9F00,47,7,5,0,23
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#00FFFF,#FF00FF,#00caff,995,39,2,0,24
57410611290e3,22,Other,5,no,twoColorsObj,#FF00FF,#FFFF00,#FF6F00,454,32,4,0,25
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#FF00FF,#FFFF00,#D7A700,311,14,1,0,25
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#00FF00,#00FFFF,#00FF80,118,9,4,0,26
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#00FF00,#FF00FF,#808000,25,7,3,0,27
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#00FF00,#FFFF00,#aeff00,228,10,5,0,28
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#0000FF,#00FFFF,#00acff,444,31,3,0,29
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#0000FF,#FF00FF,#FB0080,442,32,3,0,30
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,743,29,4,0,31
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#00FFFF,#FFFF00,#6effa3,138,9,4,0,32
