id;date;age;gender;academic_degree;nationality;country_residence;language;num_answers;in_person;time_spent;numBlackSquare;wordBlackSquare;numWhiteSquare;wordWhiteSquare;dimensions;available_dim;color_depth;plate_one;plate_two;plate_three;plate_four;plate_five;plate_six
5710ee9e58646;15-Apr-2016 14:37:34 WEST;25;Female;Master Degree;portuguese;PT;pt;32;yes;18;10;hello;10;cure;1920x1080;1920x1032;24;12;29;74;45;26;35
571151812791a;15-Apr-2016 21:39:29 WEST;20;Male;Bachelor Degree;portuguese;PT;pt;32;yes;13;10;hello;10;cure;1280x800;1280x723;24;12;29;74;45;26;35
5739ff85289b2;16-May-2016 18:12:37 WEST;56;Female;Ensino SecundÃ¡rio;portuguese;PT;pt;25;yes;18;10;hello;9;friday;1440x900;1440x825;24;12;29;74;45;26;35
573a059da0efd;16-May-2016 18:38:37 WEST;31;Female;Ensino SecundÃ¡rio;portuguese;PT;pt;32;yes;18;10;hello;10;cure;1440x900;1440x825;24;12;29;74;45;26;35
573a0b8280839;16-May-2016 19:03:46 WEST;29;Male;Ensino SecundÃ¡rio;portuguese;PT;pt;21;yes;19;10;hello;10;cure;1440x900;1440x825;24;12;29;74;45;26;35
5713a02a13044;17-Apr-2016 15:39:38 WEST;24;Female;Bachelor Degree;portuguese;PT;pt;32;yes;-37;10;hello;10;cure;1920x1080;1920x1050;24;12;29;74;45;26;35
573c70dabcfe0;18-May-2016 14:40:42 WEST;49;Male;Ensino SecundÃ¡rio;portuguese;PT;pt;32;yes;15;10;hello;9;friday;1440x900;1440x825;24;12;29;74;45;26;35
573c783748e8b;18-May-2016 15:12:07 WEST;37;Female;Ensino SecundÃ¡rio;portuguese;PT;pt;32;yes;15;10;hello;9;friday;1440x900;1440x825;24;12;28;71;45;26;35
573e4022949b1;19-May-2016 23:37:22 WEST;24;Male;Ensino Superior - Licenciatura;british;PT;pt;32;yes;23;10;hello;8;illusion;1440x900;1440x825;24;12;29;74;45;26;35
573e47c26cb8e;20-May-2016 0:09:54 WEST;24;Male;Ensino Superior - Mestrado;portuguese;PT;pt;32;yes;0;10;hello;10;cure;1440x900;1440x848;24;12;29;74;45;26;35
573e4d0eb795b;20-May-2016 0:32:30 WEST;24;Male;Ensino Superior - Licenciatura;portuguese;PT;pt;32;yes;0;10;hello;10;friday;1440x900;1440x848;24;12;29;74;45;26;35
573edae85268b;20-May-2016 10:37:44 WEST;27;Male;Ensino Superior - Mestrado;portuguese;PT;pt;32;yes;11;10;hello;10;cure;1440x900;1440x825;24;12;29;74;45;26;35
573ec4275ba17;20-May-2016 9:00:39 WEST;24;Female;Ensino Superior - Licenciatura;portuguese;PT;pt;32;yes;9;10;hello;10;cure;1440x900;1440x848;24;12;29;74;45;26;6
5740a8b59d448;21-May-2016 19:28:05 WEST;31;Female;Ensino Superior - Mestrado;portuguese;PT;pt;32;yes;19;10;hello;9;friday;1440x900;1440x848;24;12;29;74;45;26;35
5740ad339507d;21-May-2016 19:47:15 WEST;40;Male;Ensino Superior - Licenciatura;portuguese;PT;pt;32;yes;19;10;hello;10;cure;1440x900;1440x848;24;12;29;74;45;26;35
5740b0f8e9734;21-May-2016 20:03:20 WEST;62;Male;Ensino Superior - Mestrado;portuguese;PT;pt;33;yes;20;9;world;10;cure;1440x900;1440x848;24;12;29;74;45;26;32
5740b686127bb;21-May-2016 20:27:02 WEST;32;Male;Ensino Superior - Mestrado;portuguese;PT;pt;32;yes;20;10;hello;9;friday;1440x900;1440x848;24;12;27;74;45;26;35
