id;date;age;gender;academic_degree;nationality;country_residence;language;num_answers;in_person;time_spent;numBlackSquare;wordBlackSquare;numWhiteSquare;wordWhiteSquare;dimensions;available_dim;color_depth;plate_one;plate_two;plate_three;plate_four;plate_five;plate_six
57112da850667;15-Apr-2016 19:06:32 WEST;22;Female;College;portuguese;PT;pt;47;no;27;10;hello;9;friday;1366x768;1304x768;24;12;29;74;45;26;35
57123e4050550;16-Apr-2016 14:29:36 WEST;20;Female;College;portuguese;PT;pt;40;no;-29;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
57112b9e10661;15-Apr-2016 18:57:50 WEST;64;Female;Bachelor Degree;portuguese;PT;pt;34;no;-24;9;world;9;friday;1366x768;1366x728;24;12;29;74;45;26;35
57111f6c42412;15-Apr-2016 18:05:48 WEST;22;Male;Bachelor Degree;portuguese;PT;pt;34;no;15;10;hello;10;cure;1366x768;1366x768;24;12;29;74;45;26;35
5745f6f039dc9;25-May-2016 20:03:12 WEST;15;Male;No Academic Degree;canadian;CA;en;33;no;0;10;Hello;10;Cure;1024x768;1024x768;32;12;1;71;1;28;3
571247f66fb51;16-Apr-2016 15:11:02 WEST;27;Male;Master Degree;portuguese;PT;pt;32;no;18;9;world;10;cure;1920x1080;1920x1040;24;12;29;74;45;26;35
57123bec83e8e;16-Apr-2016 14:19:40 WEST;21;Male;Master Degree;portuguese;PT;pt;32;no;12;10;hello;10;cure;1920x1080;1920x1030;24;12;29;74;45;26;35
571130c5cd6e9;15-Apr-2016 19:19:49 WEST;24;Female;Bachelor Degree;portuguese;PT;pt;32;no;24;10;none;9;friday;1600x900;1600x900;24;12;29;74;45;26;35
5745500f6e643;25-May-2016 8:11:11 WEST;24;Female;High-School;american;US;en;32;no;0;7;Tree;9;Friday;768x1024;768x1004;32;12;29;74;45;26;35
5710ce6c1308c;15-Apr-2016 12:20:12 WEST;23;Female;Bachelor Degree;portuguese;PT;pt;32;no;-12;9;oranges;10;friday;1280x720;1280x683;24;12;29;74;45;26;35
5710cc5a7829c;15-Apr-2016 12:11:22 WEST;27;Male;Bachelor Degree;portuguese;PT;pt;32;no;14;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
5710cf445718e;15-Apr-2016 12:23:48 WEST;25;Male;Master Degree;portuguese;PT;pt;32;no;13;10;hello;9;friday;1366x768;1366x728;24;12;29;71;45;26;35
5710d140b7c5a;15-Apr-2016 12:32:16 WEST;26;Male;College;portuguese;PT;pt;32;no;8;10;hello;10;cure;1600x900;1600x860;24;12;29;21;46;26;35
57451c3b38192;25-May-2016 4:30:03 WEST;23;Female;Bachelor Degree;american;US;en;32;no;0;10;Hello;10;Cure;768x1024;1024x748;32;12;29;74;45;26;35
5710d28fec2d1;15-Apr-2016 12:37:51 WEST;30;Male;Doctoral Degree;portuguese;PT;pt;32;no;13;10;hello;10;cure;1280x800;1280x773;24;12;29;74;45;26;35
5710d71ff24c3;15-Apr-2016 12:57:19 WEST;20;Female;Bachelor Degree;portuguese;PT;en;32;no;-42;10;hello;9;friday;1366x768;1366x738;24;12;18;74;45;26;35
574511e99b6d9;25-May-2016 3:46:01 WEST;19;Female;College;welsh;GB;en;32;no;0;10;hello;10;cure;1280x720;1280x720;24;12;29;74;45;28;35
574297edae49c;23-May-2016 6:41:01 WEST;24;Male;Master Degree;french;FR;fr;32;no;0;10;hello;10;cure;1440x900;1440x790;24;12;29;74;45;26;35
57427cf6bad0c;23-May-2016 4:45:58 WEST;19;Female;College;american;US;en;32;no;1;8;Orange;10;Cure;962x601;962x601;32;12;29;74;45;26;35
5738cf3d97a58;15-May-2016 20:34:21 WEST;23;Male;Bachelor Degree;south african;ZA;af;32;no;0;10;hello;7;chair;1680x1050;1680x1010;24;12;29;74;45;26;35
571165992a5c1;15-Apr-2016 23:05:13 WEST;67;Female;Ensino SecundÃ¡rio;portuguese;PT;pt;32;no;43;10;hello;8;illusion;1366x768;1366x728;24;12;29;74;45;26;35
57366c199283c;14-May-2016 1:06:49 WEST;19;Male;Bachelor Degree;canadian;CA;en;32;no;0;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
57116b9b879bf;15-Apr-2016 23:30:51 WEST;20;Male;College;portuguese;PT;pt;32;no;14;10;hello;10;cure;1920x1080;1920x1030;24;12;29;74;45;26;35
57113d4d93c81;15-Apr-2016 20:13:17 WEST;18;Female;College;portuguese;PT;pt;32;no;16;10;hello;9;friday;1680x1050;1680x1010;24;12;29;74;45;26;35
5710e540a9514;15-Apr-2016 13:57:36 WEST;52;Female;Bachelor Degree;portuguese;PT;pt;32;no;-29;9;World ;10;Cure;768x1024;768x1004;32;12;29;74;45;28;35
573634984323e;13-May-2016 21:10:00 WEST;19;Male;High-School;swedish;SE;sv;32;no;0;10;Hello;8;Illusion;384x640;384x640;32;12;29;74;45;26;35
5710cbc5f0ea4;15-Apr-2016 12:08:53 WEST;23;Male;Bachelor Degree;portuguese;PT;pt;32;no;21;10;hello;10;cure;1920x1080;1920x1040;24;12;20;21;7;26;3
5736048bb110b;13-May-2016 17:44:59 WEST;19;Male;High-School;american;GB;en;32;no;0;10;hello;10;cure;1920x1080;1920x1028;24;12;29;74;45;26;35
5735d3455a84c;13-May-2016 14:14:45 WEST;29;Male;Master Degree;british;GB;en;32;no;0;10;Hello;9;Friday;1280x1024;1280x984;24;12;24;74;45;26;35
5711703bd85fc;15-Apr-2016 23:50:35 WEST;18;Female;Master Degree;portuguese;PT;pt;32;no;-50;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
5734918f46823;12-May-2016 15:22:07 WEST;26;Male;Bachelor Degree;canadian;CA;en;32;no;0;10;hello;9;friday;1680x1050;1680x1023;24;12;29;74;45;26;35
572c85675a5ef;6-May-2016 12:52:07 WEST;23;Male;Bachelor Degree;portuguese;PT;pt;32;no;1;10;hello;10;cure;1920x1080;1920x1053;24;12;29;74;45;26;35
57110028bc74b;15-Apr-2016 15:52:24 WEST;48;Female;Master Degree;portuguese;PT;pt;32;no;-34;10;none;10;NONE;1280x800;1280x770;24;12;29;74;45;26;35
571103343658b;15-Apr-2016 16:05:24 WEST;20;Female;High-School;portuguese;PT;pt;32;no;19;9;world;10;cure;1920x1080;1920x1030;24;12;29;74;45;26;35
5711106ab212a;15-Apr-2016 17:01:46 WEST;33;Male;College;portuguese;PT;pt;32;no;23;10;hello;9;friday;1920x1080;1920x1040;24;12;29;74;45;26;35
571183866d73f;16-Apr-2016 1:12:54 WEST;48;Female;College;portuguese;PT;pt;32;no;40;10;hello;8;illusion;1366x768;1366x728;24;12;29;74;45;26;35
571154184c9bd;15-Apr-2016 21:50:32 WEST;47;Female;Master Degree;spanish;PT;es;32;no;-43;10;None;10;Cure;768x1024;1024x748;32;12;29;74;45;26;35
57190633f233f;21-Apr-2016 17:56:19 WEST;30;Male;Master Degree;portuguese;PT;pt;32;no;-38;9;world;9;friday;1280x1024;1280x994;24;12;29;74;45;26;35
5711231e370f2;15-Apr-2016 18:21:34 WEST;24;Male;Master Degree;portuguese;PT;pt;32;no;20;10;hello;10;cure;1920x1080;1920x1040;24;12;29;74;45;28;35
571153ca15566;15-Apr-2016 21:49:14 WEST;32;Male;Ensino Superior - Mestrado;portuguese;PT;pt;32;no;11;8;oranges;8;illusion;1280x800;1280x717;24;12;29;74;45;26;35
5711ace2ee7ed;16-Apr-2016 4:09:22 WEST;24;Male;Bachelor Degree;portuguese;PT;pt;32;no;14;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
5745b5cbe3caa;25-May-2016 15:25:15 WEST;34;Female;Master Degree;american;FR;en;32;no;0;10;hello;10;cure;1366x768;1366x721;24;12;29;74;45;26;35
57149713464b1;18-Apr-2016 9:13:07 WEST;51;Female;Doctoral Degree;portuguese;PT;pt;32;no;5;5;Water;7;Chair;414x736;414x716;32;12;29;74;45;26;35
5713fc80c942a;17-Apr-2016 22:13:36 WEST;23;Female;Master Degree;portuguese;PT;pt;32;no;16;10;hello;10;cure;1280x800;1280x709;24;12;29;74;45;26;35
571214121717c;16-Apr-2016 11:29:38 WEST;22;Male;Bachelor Degree;portuguese;PT;pt;32;no;11;10;hello;10;cure;1024x768;1024x768;32;12;29;74;45;26;35
5713b10383207;17-Apr-2016 16:51:31 WEST;40;Male;Master Degree;portuguese;PT;pt;32;no;-34;7;tree;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
5712197fbccd5;16-Apr-2016 11:52:47 WEST;24;Female;Bachelor Degree;portuguese;PT;pt;32;no;-43;10;hello;9;friday;1366x768;1366x728;24;12;29;74;45;26;35
57112d8509632;15-Apr-2016 19:05:57 WEST;45;Female;Master Degree;portuguese;PT;pt;32;no;22;9;world;8;illusion;1280x768;1280x734;24;12;29;74;45;26;35
5711641931da5;15-Apr-2016 22:58:49 WEST;20;Female;Bachelor Degree;portuguese;PT;pt;32;no;-42;10;hello;9;friday;1366x768;1366x728;24;12;29;74;45;26;35
5712c2b021f58;16-Apr-2016 23:54:40 WEST;22;Female;College;portuguese;PT;pt;32;no;-48;10;hello;10;cure;1366x768;1366x728;24;12;29;71;45;26;35
5712bd55a8a13;16-Apr-2016 23:31:49 WEST;27;Female;Master Degree;portuguese;PT;pt;32;no;10;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
5711348e42f02;15-Apr-2016 19:35:58 WEST;19;Female;High-School;portuguese;PT;pt;32;no;14;10;hello;10;cure;1366x768;1366x728;24;12;29;74;45;26;35
571130d934bda;15-Apr-2016 19:20:09 WEST;22;Female;Bachelor Degree;portuguese;DE;pt;32;no;25;10;hello;9;friday;1920x1080;1920x1050;24;12;29;74;45;26;35
5710cd99df604;15-Apr-2016 12:16:41 WEST;23;Female;Master Degree;portuguese;PT;pt;32;no;12;10;hello;10;cure;1536x864;1536x826;24;12;29;74;45;26;35
57127bcfaafb0;16-Apr-2016 18:52:15 WEST;22;Female;Bachelor Degree;portuguese;PT;pt;32;no;-48;10;hello;10;cure;1920x1080;1854x1080;24;12;29;74;45;26;35
57112ebc85ba1;15-Apr-2016 19:11:08 WEST;18;Female;High-School;portuguese;PT;pt;32;no;13;10;hello;10;cure;1368x912;1368x872;24;12;29;74;45;26;35
571260c120253;16-Apr-2016 16:56:49 WEST;22;Male;Master Degree;portuguese;PT;pt;32;no;-43;10;hello;10;cure;1440x900;1440x860;24;12;29;74;45;26;35
571252e6d2e70;16-Apr-2016 15:57:42 WEST;31;Female;Master Degree;portuguese;PT;pt;32;no;-34;10;hello;9;friday;1280x1024;1280x984;24;12;29;74;45;26;35
57113a5534205;15-Apr-2016 20:00:37 WEST;22;Male;Bachelor Degree;swiss;PT;de;31;no;18;10;hello;5;park;1680x1050;1680x1010;24;12;29;74;45;26;35
5745c1c07cc0c;25-May-2016 16:16:16 WEST;18;Other;High-School;american;US;en;31;no;0;10;hello;9;friday;1280x1024;1280x984;24;12;29;74;45;26;35
57459c393bbd0;25-May-2016 13:36:09 WEST;29;Male;Bachelor Degree;australian;AU;en;31;no;0;10;hello;10;cure;1920x1200;1920x1170;24;12;29;74;45;26;35
5745350dc1e22;25-May-2016 6:15:57 WEST;19;Female;High-School;canadian;CA;en;31;no;0;10;Hello;9;Friday;768x1024;1024x748;32;12;29;74;45;26;35
5710e60f69205;15-Apr-2016 14:01:03 WEST;24;Female;Bachelor Degree;portuguese;PT;pt;31;no;25;10;hello;9;friday;1280x800;1280x773;24;12;29;74;45;26;35
5716e9900f6ea;20-Apr-2016 3:29:36 WEST;58;Female;Ensino Superior - Licenciatura;portuguese;TL;pt;31;no;25;10;hello;9;friday;1093x614;1093x574;24;12;29;74;45;26;35
57153eb9b4bed;18-Apr-2016 21:08:25 WEST;35;Female;Master Degree;portuguese;PT;pt;31;no;19;10;hello;10;cure;1280x800;1280x770;24;12;29;74;45;28;35
5712c57f97f25;17-Apr-2016 0:06:39 WEST;25;Female;Bachelor Degree;portuguese;PT;pt;31;no;13;9;world;10;cure;1440x900;1440x833;24;12;29;74;45;26;35
571289ef76e18;16-Apr-2016 19:52:31 WEST;55;Female;Ensino Superior - Licenciatura;portuguese;PT;pt;31;no;26;1;color;10;cure;1366x768;1366x728;24;12;29;74;45;28;35
57121e2a63601;16-Apr-2016 12:12:42 WEST;21;Male;Bachelor Degree;luxembourger;PT;pt;31;no;12;10;hello;9;friday;1366x768;1366x728;24;12;29;74;46;26;35
5711cbde51bb0;16-Apr-2016 6:21:34 WEST;24;Male;Master Degree;portuguese;PT;pt;31;no;11;10;hello;8;Illusion;1366x768;1366x728;24;12;29;74;45;26;35
57119224388ef;16-Apr-2016 2:15:16 WEST;24;Male;High-School;portuguese;PT;pt;31;no;13;10;hello;10;cure;1600x900;1600x900;24;12;29;74;45;26;35
57113b7f16c4b;15-Apr-2016 20:05:35 WEST;22;Male;Bachelor Degree;portuguese;PT;pt;31;no;34;10;hello;9;friday;1366x768;1366x738;24;12;70;21;99;2;3
5711800f2c5f3;16-Apr-2016 0:58:07 WEST;59;Female;Bachelor Degree;portuguese;PT;pt;31;no;-23;9;world;10;cure;1440x900;1440x815;24;12;29;74;45;28;35
